File,Version,Rank,Name,Count
http://example.com/dbpedia_3-5,0,1,http://dbpedia.org/resource/Jimmy_Robinson_%28recording_engineer%29,177
http://example.com/dbpedia_3-5,0,2,http://dbpedia.org/resource/Mercedes-Benz_W126,107
http://example.com/dbpedia_3-5,0,3,http://dbpedia.org/resource/Mercedes-Benz_W124,104
http://example.com/dbpedia_3-5,0,4,http://dbpedia.org/resource/Lotru_River,102
http://example.com/dbpedia_3-5,0,5,http://dbpedia.org/resource/Gary_Kellgren,99
http://example.com/dbpedia_3-5,0,6,http://dbpedia.org/resource/Iraq_War,97
http://example.com/dbpedia_3-5,0,7,http://dbpedia.org/resource/Roman%E2%80%93Persian_Wars,91
http://example.com/dbpedia_3-5,0,8,http://dbpedia.org/resource/Vipera_berus,90
http://example.com/dbpedia_3-5,0,9,http://dbpedia.org/resource/War_in_Afghanistan_%282001%E2%80%93present%29,90
http://example.com/dbpedia_3-5,0,10,http://dbpedia.org/resource/Napoleonic_Wars,87
http://example.com/dbpedia_3-5-1,1,1,http://dbpedia.org/resource/Jimmy_Robinson_%28recording_engineer%29,178
http://example.com/dbpedia_3-5-1,1,2,http://dbpedia.org/resource/Mercedes-Benz_W126,107
http://example.com/dbpedia_3-5-1,1,3,http://dbpedia.org/resource/Mercedes-Benz_W124,104
http://example.com/dbpedia_3-5-1,1,4,http://dbpedia.org/resource/Lotru_River,102
http://example.com/dbpedia_3-5-1,1,5,http://dbpedia.org/resource/Gary_Kellgren,100
http://example.com/dbpedia_3-5-1,1,6,http://dbpedia.org/resource/Iraq_War,97
http://example.com/dbpedia_3-5-1,1,7,http://dbpedia.org/resource/Roman%E2%80%93Persian_Wars,91
http://example.com/dbpedia_3-5-1,1,8,http://dbpedia.org/resource/Vipera_berus,90
http://example.com/dbpedia_3-5-1,1,9,http://dbpedia.org/resource/War_in_Afghanistan_%282001%E2%80%93present%29,90
http://example.com/dbpedia_3-5-1,1,10,http://dbpedia.org/resource/Napoleonic_Wars,87
http://example.com/dbpedia_3-6,2,1,http://dbpedia.org/resource/Stan_Levey,183
http://example.com/dbpedia_3-6,2,2,http://dbpedia.org/resource/Acleris_cristana,141
http://example.com/dbpedia_3-6,2,3,http://dbpedia.org/resource/Acleris_hastiana,139
http://example.com/dbpedia_3-6,2,4,http://dbpedia.org/resource/Alexandru_Macedonski,123
http://example.com/dbpedia_3-6,2,5,http://dbpedia.org/resource/Frank_Fenter,119
http://example.com/dbpedia_3-6,2,6,http://dbpedia.org/resource/War_in_Afghanistan_%282001%E2%80%93present%29,115
http://example.com/dbpedia_3-6,2,7,http://dbpedia.org/resource/Iraq_War,109
http://example.com/dbpedia_3-6,2,8,http://dbpedia.org/resource/Norman_Granz,105
http://example.com/dbpedia_3-6,2,9,http://dbpedia.org/resource/Lotru_River,102
http://example.com/dbpedia_3-6,2,10,http://dbpedia.org/resource/Gary_Kellgren,101
http://example.com/dbpedia_3-7,3,1,http://dbpedia.org/resource/Couples_Retreat,217
http://example.com/dbpedia_3-7,3,2,http://dbpedia.org/resource/Stan_Levey,186
http://example.com/dbpedia_3-7,3,3,http://dbpedia.org/resource/Acleris_hastiana,139
http://example.com/dbpedia_3-7,3,4,http://dbpedia.org/resource/Acleris_cristana,137
http://example.com/dbpedia_3-7,3,5,http://dbpedia.org/resource/Alexandru_Macedonski,131
http://example.com/dbpedia_3-7,3,6,http://dbpedia.org/resource/War_in_Afghanistan_%282001%E2%80%93present%29,128
http://example.com/dbpedia_3-7,3,7,http://dbpedia.org/resource/Frank_Fenter,122
http://example.com/dbpedia_3-7,3,8,http://dbpedia.org/resource/Hyles_euphorbiae,117
http://example.com/dbpedia_3-7,3,9,http://dbpedia.org/resource/Iraq_War,115
http://example.com/dbpedia_3-7,3,10,http://dbpedia.org/resource/Korean_War,114
http://example.com/dbpedia_3-8,4,1,http://dbpedia.org/resource/Gal%C3%A1pagos_tortoise,225
http://example.com/dbpedia_3-8,4,2,http://dbpedia.org/resource/Stan_Levey,187
http://example.com/dbpedia_3-8,4,3,http://dbpedia.org/resource/Mercedes-Benz_W124,148
http://example.com/dbpedia_3-8,4,4,http://dbpedia.org/resource/Moodadi,145
http://example.com/dbpedia_3-8,4,5,http://dbpedia.org/resource/War_in_Afghanistan_(2001%E2%80%93present),142
http://example.com/dbpedia_3-8,4,6,http://dbpedia.org/resource/Papilio_dardanus,141
http://example.com/dbpedia_3-8,4,7,http://dbpedia.org/resource/Spiny_softshell_turtle,139
http://example.com/dbpedia_3-8,4,8,http://dbpedia.org/resource/Acleris_hastiana,139
http://example.com/dbpedia_3-8,4,9,http://dbpedia.org/resource/Kid_Rock,138
http://example.com/dbpedia_3-8,4,10,http://dbpedia.org/resource/Acleris_cristana,138
http://example.com/dbpedia_3-9,5,1,http://dbpedia.org/resource/List_of_Malaysian_football_transfers_2012,828
http://example.com/dbpedia_3-9,5,2,http://dbpedia.org/resource/List_of_Russian_football_transfers_winter_2009%E2%80%9310,696
http://example.com/dbpedia_3-9,5,3,http://dbpedia.org/resource/List_of_Russian_football_transfers_winter_2010%E2%80%9311,678
http://example.com/dbpedia_3-9,5,4,http://dbpedia.org/resource/List_of_Dutch_football_transfers_summer_2010%E2%80%9311,676
http://example.com/dbpedia_3-9,5,5,http://dbpedia.org/resource/List_of_South_Korean_football_transfers_winter_2012%E2%80%9313,672
http://example.com/dbpedia_3-9,5,6,http://dbpedia.org/resource/List_of_Cypriot_football_transfers_summer_2012,639
http://example.com/dbpedia_3-9,5,7,http://dbpedia.org/resource/List_of_German_football_transfers_summer_2007,621
http://example.com/dbpedia_3-9,5,8,http://dbpedia.org/resource/List_of_Chinese_football_transfers_winter_2013,613
http://example.com/dbpedia_3-9,5,9,http://dbpedia.org/resource/List_of_German_football_transfers_summer_2009,604
http://example.com/dbpedia_3-9,5,10,http://dbpedia.org/resource/List_of_Japanese_football_transfers_winter_2010%E2%80%9311,593
http://example.com/dbpedia_2015-04,6,1,http://dbpedia.org/resource/List_of_Iranian_football_transfers_summer_2012,551
http://example.com/dbpedia_2015-04,6,2,http://dbpedia.org/resource/List_of_Iranian_football_transfers_summer_2011,521
http://example.com/dbpedia_2015-04,6,3,http://dbpedia.org/resource/List_of_Mexican_football_transfers_summer_2014,448
http://example.com/dbpedia_2015-04,6,4,http://dbpedia.org/resource/List_of_Latvian_football_transfers_winter_2010–11,430
http://example.com/dbpedia_2015-04,6,5,http://dbpedia.org/resource/List_of_Mexican_football_transfers_summer_2012,393
http://example.com/dbpedia_2015-04,6,6,http://dbpedia.org/resource/List_of_Mexican_football_transfers_winter_2012–13,368
http://example.com/dbpedia_2015-04,6,7,http://dbpedia.org/resource/2009–10_UEFA_Europa_League_qualifying_phase_and_play-off_round,367
http://example.com/dbpedia_2015-04,6,8,http://dbpedia.org/resource/2014–15_UEFA_Europa_League_qualifying_phase_and_play-off_round,354
http://example.com/dbpedia_2015-04,6,9,http://dbpedia.org/resource/List_of_Mexican_football_transfers_winter_2013–14,345
http://example.com/dbpedia_2015-04,6,10,http://dbpedia.org/resource/2013–14_UEFA_Europa_League_qualifying_phase_and_play-off_round,338
http://example.com/dbpedia_2015-10,7,1,http://dbpedia.org/resource/List_of_Chinese_football_transfers_winter_2015,1799
http://example.com/dbpedia_2015-10,7,2,http://dbpedia.org/resource/List_of_Iranian_football_transfers_summer_2013,1707
http://example.com/dbpedia_2015-10,7,3,http://dbpedia.org/resource/List_of_Malaysian_football_transfers_2012,1634
http://example.com/dbpedia_2015-10,7,4,http://dbpedia.org/resource/List_of_Russian_football_transfers_winter_2010–11,1557
http://example.com/dbpedia_2015-10,7,5,http://dbpedia.org/resource/List_of_Russian_football_transfers_winter_2009–10,1455
http://example.com/dbpedia_2015-10,7,6,http://dbpedia.org/resource/List_of_Chinese_football_transfers_winter_2014,1433
http://example.com/dbpedia_2015-10,7,7,http://dbpedia.org/resource/2014–15_UEFA_Youth_League_squads,1382
http://example.com/dbpedia_2015-10,7,8,http://dbpedia.org/resource/List_of_Japanese_football_transfers_winter_2014–15,1327
http://example.com/dbpedia_2015-10,7,9,http://dbpedia.org/resource/List_of_Dutch_football_transfers_summer_2010–11,1295
http://example.com/dbpedia_2015-10,7,10,http://dbpedia.org/resource/List_of_South_Korean_football_transfers_winter_2012–13,1264
http://example.com/dbpedia_2016-04,8,1,http://dbpedia.org/resource/List_of_Chinese_football_transfers_winter_2015,1799
http://example.com/dbpedia_2016-04,8,2,http://dbpedia.org/resource/List_of_Iranian_football_transfers_summer_2013,1707
http://example.com/dbpedia_2016-04,8,3,http://dbpedia.org/resource/List_of_Japanese_football_transfers_winter_2015–16,1676
http://example.com/dbpedia_2016-04,8,4,http://dbpedia.org/resource/List_of_Malaysian_football_transfers_2012,1634
http://example.com/dbpedia_2016-04,8,5,http://dbpedia.org/resource/List_of_Russian_football_transfers_winter_2010–11,1557
http://example.com/dbpedia_2016-04,8,6,http://dbpedia.org/resource/List_of_Russian_football_transfers_winter_2009–10,1455
