File,Version,Rank,Name,Count
http://example.com/dbpedia_3-5,0,1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,5486648
http://example.com/dbpedia_3-5,0,2,http://xmlns.com/foaf/0.1/name,1383781
http://example.com/dbpedia_3-5,0,3,http://dbpedia.org/ontology/team,321918
http://example.com/dbpedia_3-5,0,4,http://www.georss.org/georss/point,289155
http://example.com/dbpedia_3-5,0,5,http://www.w3.org/2003/01/geo/wgs84_pos#lat,289145
http://example.com/dbpedia_3-5,0,6,http://www.w3.org/2003/01/geo/wgs84_pos#long,289141
http://example.com/dbpedia_3-5,0,7,http://dbpedia.org/ontology/birthPlace,264900
http://example.com/dbpedia_3-5,0,8,http://dbpedia.org/ontology/genre,245217
http://example.com/dbpedia_3-5,0,9,http://dbpedia.org/ontology/birthDate,232651
http://example.com/dbpedia_3-5,0,10,http://dbpedia.org/ontology/family,215105
http://example.com/dbpedia_3-5-1,1,1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,5786326
http://example.com/dbpedia_3-5-1,1,2,http://xmlns.com/foaf/0.1/name,1383779
http://example.com/dbpedia_3-5-1,1,3,http://dbpedia.org/ontology/team,321911
http://example.com/dbpedia_3-5-1,1,4,http://www.georss.org/georss/point,289281
http://example.com/dbpedia_3-5-1,1,5,http://www.w3.org/2003/01/geo/wgs84_pos#lat,289269
http://example.com/dbpedia_3-5-1,1,6,http://www.w3.org/2003/01/geo/wgs84_pos#long,289266
http://example.com/dbpedia_3-5-1,1,7,http://dbpedia.org/ontology/birthPlace,264890
http://example.com/dbpedia_3-5-1,1,8,http://dbpedia.org/ontology/genre,245196
http://example.com/dbpedia_3-5-1,1,9,http://dbpedia.org/ontology/birthDate,232640
http://example.com/dbpedia_3-5-1,1,10,http://dbpedia.org/ontology/family,215105
http://example.com/dbpedia_3-6,2,1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6504171
http://example.com/dbpedia_3-6,2,2,http://xmlns.com/foaf/0.1/name,1558234
http://example.com/dbpedia_3-6,2,3,http://dbpedia.org/ontology/birthPlace,432754
http://example.com/dbpedia_3-6,2,4,http://dbpedia.org/ontology/genre,378208
http://example.com/dbpedia_3-6,2,5,http://dbpedia.org/ontology/country,374001
http://example.com/dbpedia_3-6,2,6,http://dbpedia.org/ontology/team,337707
http://example.com/dbpedia_3-6,2,7,http://www.georss.org/georss/point,328877
http://example.com/dbpedia_3-6,2,8,http://www.w3.org/2003/01/geo/wgs84_pos#long,328835
http://example.com/dbpedia_3-6,2,9,http://www.w3.org/2003/01/geo/wgs84_pos#lat,328830
http://example.com/dbpedia_3-6,2,10,http://dbpedia.org/ontology/family,310789
http://example.com/dbpedia_3-7,3,1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,9615236
http://example.com/dbpedia_3-7,3,2,http://xmlns.com/foaf/0.1/name,1694822
http://example.com/dbpedia_3-7,3,3,http://dbpedia.org/ontology/country,546434
http://example.com/dbpedia_3-7,3,4,http://dbpedia.org/ontology/isPartOf,480129
http://example.com/dbpedia_3-7,3,5,http://dbpedia.org/ontology/team,444025
http://example.com/dbpedia_3-7,3,6,http://dbpedia.org/ontology/birthPlace,416984
http://example.com/dbpedia_3-7,3,7,http://dbpedia.org/ontology/genre,393921
http://example.com/dbpedia_3-7,3,8,http://www.georss.org/georss/point,378663
